email_text,category,urgency,tone
My Physics assignment submission failed. Please accept late submission.,Assignment,Medium,Polite
There's an error in my fee receipt. Please correct it.,Finance/Fee,Low,Polite
Can I audit DS instead of credit? Please advise.,Academic/Course,Medium,Polite
I'm confused about problem 4 in DBMS assignment. Please clarify.,Assignment,Low,Polite
I can't access Moodle. Getting server error repeatedly.,Technical,High,Angry
Can I audit OS instead of credit? Please advise.,Academic/Course,Medium,Polite
I want to drop COA. What's the procedure?,Academic/Course,High,Polite
Can I audit DS instead of credit? Please advise.,Academic/Course,Medium,Polite
Mess timings don't work with my lab schedule. Can this be changed?,Mess,Critical,Angry
I got 25 in DBMS midsem but my answers were correct. Please recheck.,Marks/Reeval,Medium,Polite
My room AC is not working for 3 days. This is very urgent.,Hostel,Critical,Angry
I lost my ID card. How do I get a duplicate?,General,High,Polite
What are the library timings during exams?,General,Medium,Polite
I can't access Moodle. Getting server error repeatedly.,Technical,Medium,Neutral
Can I audit DS instead of credit? Please advise.,Academic/Course,Low,Polite
I need transcript copies for MS application. What's the process?,Certificate,Medium,Neutral
How long does it take to get the degree certificate?,Certificate,Critical,Confused
How long does it take to get the degree certificate?,Certificate,High,Frustrated
I haven't received my scholarship yet. When will it be credited?,Finance/Fee,Critical,Polite
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Critical,Frustrated
The food quality in mess is terrible. We need better options.,Mess,Medium,Angry
My DBMS assignment submission failed. Please accept late submission.,Assignment,High,Polite
I can't access Moodle. Getting server error repeatedly.,Technical,Low,Confused
Mess timings don't work with my lab schedule. Can this be changed?,Mess,Medium,Appreciative
There's an error in my AI grade calculation. Please verify.,Marks/Reeval,Medium,Polite
How long does it take to get the degree certificate?,Certificate,Medium,Angry
Can I change my room? My roommate is very noisy.,Hostel,Low,Confused
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,High,Angry
What are the library timings during exams?,General,Medium,Appreciative
What are the library timings during exams?,General,Low,Confused
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Angry
There's an error in my Maths grade calculation. Please verify.,Marks/Reeval,High,Polite
I can't access Moodle. Getting server error repeatedly.,Technical,Medium,Angry
My attendance is not updated for OS. Kindly update it ASAP.,Attendance,Critical,Frustrated
The food quality in mess is terrible. We need better options.,Mess,High,Polite
My marks for Physics assignment are very low. Can I get a re-evaluation?,Marks/Reeval,High,Polite
I want to drop COA. What's the procedure?,Academic/Course,Medium,Confused
I can't access Moodle. Getting server error repeatedly.,Technical,Critical,Polite
What are the library timings during exams?,General,Medium,Confused
"Dear Sir, I need attendance condonation for DS. I was sick for 2 weeks.",Attendance,Medium,Confused
There's a water leakage in room 1. Please send maintenance.,Hostel,High,Polite
I need transcript copies for MS application. What's the process?,Certificate,High,Frustrated
I want to drop DBMS. What's the procedure?,Academic/Course,High,Appreciative
I'm confused about problem 3 in AI assignment. Please clarify.,Assignment,Medium,Polite
I'm very sick and need 3 days medical leave for Physics.,Medical,Medium,Angry
I need transcript copies for MS application. What's the process?,Certificate,Critical,Neutral
